location_name,greenery_pct,albedo_pct,ventilation_pct,water_pct,smart_design_pct,recorded_temp
Ekamra Kanan (Botanical Garden),85,10,70,40,10,36.2
Patia (High-Density Tech Hub),15,25,30,5,40,43.1
Khandagiri (Rocky/Hilly),35,15,60,0,5,41.5
Bindu Sagar (Old Town Water Body),20,15,40,80,5,38.4
Janpath (Commercial Concrete),5,30,20,0,20,44.2
Chandaka Forest Edge,95,5,80,10,0,34.8
Kalinga Stadium Complex,40,20,80,5,60,39.1
Infocity Sector A,25,40,50,10,70,40.5
Unit-1 Market (Dense Urban),5,10,15,0,5,44.8
Daya River Bank,60,5,90,95,0,35.5
